,itemType,showType,id,imdbId,tmdbId,title,overview,releaseYear,originalTitle,directors,cast,rating,runtime,firstGenre,secondGenre,thirdGenre
734,show,movie,40314,tt0362387,movie/24092,2LDK,"One fateful night, any and all pretense drops between a pair of roommates and actresses gunning for the same role as they enter a duel to the death.",2003,2LDK,['Yukihiko Tsutsumi'],"['Maho Nonami', 'Eiko Koike', 'Daisuke Kizaki', 'Maki Tsujimura', 'Runa Tsukishima', 'Hitomi Okegawa', 'Katsuro Hidaka']",68,69.0,comedy,drama,horror
735,show,movie,146253,tt3559570,movie/339002,2Survive,"Six contestants in a survival reality show are dropped in the middle of the Mojave desert and, accompanied by a single production cameraman, must follow a series of cryptic clues.",2015,2Survive,['Tom Seidman'],"['Jonathan Camp', 'Stephanie Greco', 'Michael Laurie', 'Sean Liang', 'Ingrid Haubert', 'Erik Estrada', 'Steve Sirkis']",51,96.0,action,adventure,drama
736,show,movie,174236,tt5588416,movie/408102,2eleven,Two brothers and fellow hustlers with very different motivations for committing robberies come to blows the more their criminal enterprise grows.,2015,2eleven,['Derek Scott'],"['Murda Pain', 'Chamar Avery', 'Angel Spieghts', 'April Lockett', 'Martell Lane', 'Kash Doll', 'Paije Speights']",58,107.0,action,,
737,show,movie,18923059,tt12943032,movie/916894,2nd Annual HA Festival: The Art of Comedy,"Stand-out comics from the star-studded 2nd Annual HA Comedy Festival are here to bring on the laughs. Taped live at San Antonio's Lila Cockrell Theatre and hosted by an all-star lineup -- including Paul Rodriguez, Emilio Rivera and the cast of The Garcias, with video appearances by Paulina Chavez and Danny Trejo -- the special features sets from fresh talents Ralph Barbosa, Lisa Alvarado, Dave Jay, Chingo Bling, Jessica Keenan and Steve Treviño, whose ""I Speak Wife"" perspective lands with the diverse live audience. Touching on everything from marriage and parenthood to arguing in sign language and growing up mixed-race, this hour of standup showcases the vibrancy and variety of today's Latinx comedy scene, giving the latest generation of comedians their chance in the spotlight.",2021,2nd Annual HA Festival: The Art of Comedy,[],[],54,54.0,comedy,,
738,show,movie,2093826,tt16282914,movie/901511,2nd Chance,Richard Davis invents a concealable bulletproof vest and shoots himself 196 times over the course of his career to prove the effectiveness of his vests.,2022,2nd Chance,['Ramin Bahrani'],['Richard Davis'],65,89.0,documentary,,
739,show,movie,127659,tt6899068,movie/620146,2nd Chance for Christmas,"A modern-day adaptation of Charles Dickens’ classic “A Christmas Carol” about a Rock/Pop celebrity, Chance Love, who has grown spoiled.",2019,2nd Chance for Christmas,['Christopher Ray'],"['Brittany Underwood', 'Tara Reid', 'Vivica A. Fox', ""Jim O'Heir"", 'Mark McGrath', 'Mark Christopher Lawrence', 'Jonathan Lipnicki']",50,85.0,family,fantasy,
741,show,movie,12713967,tt33701992,movie/1367010,2nd Miracle in Cell No. 7,"As a group of cellmates continues to protect the daughter of their peer, they tackle a new challenge when authorities thwart her adoption by caretakers.",2024,2nd Miracle in Cell No. 7,['Herwin Novianto'],"['Vino G. Bastian', 'Graciella Abigail', 'Marsha Timothy', 'Indro', 'Tora Sudiro', 'Indra Jegel', 'Rigen Rakelna']",66,146.0,comedy,drama,family
742,show,movie,180647,tt1877894,movie/256995,2nd Serve,"A former tennis pro (Josh Hopkins) forced to work at a public recreation center must regain his self-respect and lead his team of oddball amateurs to victory in a prestigious, annual tournament showdown.",2012,2nd Serve,['Tim Kirkman'],"['Josh Hopkins', 'Cameron Monaghan', 'Billy Magnussen', 'Kevin Sussman', 'Guillermo Díaz', 'Dash Mihok', 'Sam McMurray']",50,86.0,comedy,,
743,show,movie,19224202,tt22478570,movie/1084414,2 Channel no Noroi - VOL. 1,"A dynamic and powerful workout guaranteed to change your body, help you lose weight, increase energy and longevity and firm up your body.",2010,2ちゃんねるの呪い VOL. 1,['Jirô Nagae'],"['Megumi Haruno', 'Monaka Kanamori', 'Minami Matsunaka', 'Ayako Noda', 'Takuya Omoto', 'Yume Saito', 'Shiho Watanabe']",36,99.0,horror,,
744,show,movie,19198644,tt22478680,movie/1094054,2 Channel no Noroi - VOL. 2,"A dynamic and powerful workout guaranteed to change your body, help you lose weight, increase energy and longevity and firm up your body.",2011,2ちゃんねるの呪い VOL. 2,['Takashi Kojima'],"['Mio Masui', 'Fuka Kawai', 'Rion Matsushita', 'Maaya Morinaga', 'Hajime Namikawa', 'Fuuka Nishihira', 'Kazuki Shimizu']",36,94.0,horror,,
