,itemType,showType,id,imdbId,tmdbId,title,overview,releaseYear,originalTitle,directors,cast,rating,runtime,firstAirYear,lastAirYear,creators,seasonCount,episodeCount,firstGenre,secondGenre,thirdGenre
324,show,series,1072,tt3148266,tv/60948,12 Monkeys,"By 2043, a virus has wiped out most of the world's population. One time traveler, Cole, must journey throughout time to prevent the virus from ever happening and stop its engineers, the Army of the 12 Monkeys.",,12 Monkeys,,"['Aaron Stanford', 'Amanda Schull', 'Barbara Sukowa', 'Emily Hampshire', 'Todd Stashwick', 'Andrew Gillies', 'Alisen Down']",76,,2015.0,2018.0,"['Terry Matalas', 'Travis Fickett']",4.0,47.0,adventure,drama,mystery
365,show,series,30673,tt4126382,tv/204121,13 Nights of Elvira,"Elvira, Mistress of the Dark, goes on a horrifying and hilarious journey as she digs up thirteen gruesome movies in celebration of Halloween.",,13 Nights of Elvira,,['Cassandra Peterson'],62,,2014.0,2014.0,[],1.0,13.0,horror,,
366,show,series,157,tt1837492,tv/66788,13 Reasons Why,High school student Clay Jensen lands in the center of a series of heartbreaking mysteries set in motion by a friend's tragic suicide.,,13 Reasons Why,,"['Dylan Minnette', 'Christian Navarro', 'Alisha Boe', 'Brandon Flynn', 'Justin Prentice', 'Miles Heizer', 'Ross Butler']",74,,2017.0,2020.0,['Brian Yorkey'],4.0,49.0,drama,mystery,thriller
367,show,series,28562,tt8615966,tv/80865,13 Reasons Why: Beyond the Reasons,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",,13 Reasons Why: Beyond the Reasons,,"['Jay Asher', 'Kate Walsh', 'Dylan Minnette', 'Katherine Langford', 'Selena Gomez', 'Hank Greenspan']",63,,2017.0,2019.0,[],3.0,3.0,documentary,talk,
373,show,series,44156,tt1031210,tv/62932,13 miedos,Alejandro y sus amigos son víctimas de un psicópata que los secuestra para desmembrarlos y que sean parte del show en una feria.,,13 miedos,,"['Karla Cossío', 'Tony Dalton']",57,,2007.0,2007.0,[],1.0,13.0,drama,fantasy,horror
374,show,series,8307,tt8194716,tv/79932,November 13: Attack on Paris,"Survivors and first responders share personal stories of anguish, kindness and bravery that unfolded amid the Paris terror attacks of Nov. 13, 2015.",,13 novembre : Fluctuat nec mergitur,,['François Hollande'],73,,2018.0,2018.0,"['Gédéon Naudet', 'Jules Naudet']",1.0,3.0,crime,documentary,
400,show,series,25483,tt9426390,tv/89408,15 Days,"Reversing the traditional investigative narrative, 15 Days is an intensely human drama and original crime thriller that’s not so much a ‘whodunnit’, but more a ‘who’s going to do it?’",,15 Days,,"['Catherine Tyldesley', 'David Caves', 'Mali Tudno Jones', 'Geraint Morgan', 'Gabrielle Creevy', 'Tom Rhys Harries']",55,,2019.0,2019.0,['Siwan Jones'],1.0,4.0,crime,drama,mystery
407,show,series,41326,,tv/67812,15 Septembers Later,,,15 Septembers Later,,['Alan Arkin'],59,,2016.0,2016.0,[],1.0,1.0,documentary,,
413,show,series,22549,tt0377134,tv/2200,15/Love,"The show focuses on the lives of hopeful teenage tennis players as they train at the Cascadia Tennis Academy. In this high-pressure environment, the characters struggle through adolescence and romance while trying to become the world champion tennis stars that they and others think they can be.",,15/Love,,"['Amanda Crew', 'Kyle Switzer', 'Laurence Leboeuf', 'Meaghan Rath', 'Max Walker', 'Charles Edwin Powell', 'Jaclyn Linetsky']",63,,2004.0,2006.0,"['Derek Schreyer', 'Karen Troubetzkoy']",3.0,54.0,comedy,drama,family
416,show,series,62336,tt7781198,tv/85607,15: A Quinceañera Story,"In these four short films, five Latina girls from different backgrounds prepare for their quinceañera--a celebration of their 15th birthday.",,15: A Quinceañera Story,,[],54,,2017.0,2017.0,[],1.0,4.0,documentary,,
422,show,series,82067,tt4741696,tv/55805,16 Kids and Counting,This series follows the everyday lives and huge family moments in seven of Britain's biggest families.,,16 Kids and Counting,,[],45,,2013.0,2013.0,[],1.0,7.0,documentary,,
428,show,series,9432,tt1454730,tv/31673,16 and Pregnant,"This docuseries explores teen pregnancy, highlighting the challenges pregnant teens face while coming of age.",,16 and Pregnant,,[],41,,2009.0,2021.0,[],6.0,84.0,reality,,
434,show,series,5461222,tt29420686,tv/236450,1670,"In this satirical comedy, a zany nobleman faces family feuds and peasant clashes as he leads a 1670s Polish village the only way he knows — chaotically.",,1670,,"['Bartłomiej Topa', 'Katarzyna Herman', 'Kirył Pietruczuk', 'Martyna Byczkowska', 'Michał Sikorski', 'Dobromir Dymecki', 'Andrzej Kłak']",77,,2023.0,2025.0,[],3.0,16.0,comedy,history,
435,show,series,5057013,tt29143189,tv/217512,16bit Sensation: Another Layer,"The year: 1992. The college student: Meiko Uehara. The part-time job: Computer store clerk. Or so she thought. While exploring the store’s second floor, Meiko finds Alcohol Soft, an adult PC game developer. She replaces an artist in a twist of fate. Out of her element and with an approaching deadline, Meiko races to complete the game and prove herself. The fate of her career depends on it!",,16bitセンセーション ANOTHER LAYER,,"['Aoi Koga', 'Atsushi Abe', 'Yui Horie', 'Ayako Kawasumi', 'Kentaro Ito', 'Jun Fukushima', 'Aya Yamane']",62,,2023.0,2023.0,[],1.0,13.0,animation,comedy,scifi
452,show,series,83430,tt2990558,tv/111373,180 Days,"In 180 DAYS: HARTSVILLE, viewers will experience a year in the life of one Southern town's efforts to address the urgent demand for reform in American public schools, and watch what happens when the systems that can either fuel or diffuse that reform- bureaucracy, economic opportunity, and fixed mindsets- interact and intersect.",,180 Days,,[],48,,2013.0,2013.0,[],1.0,2.0,documentary,,
